id,flight_proven,serial_number,status,successful_landings,attempted_landings,flights,last_launch_date,first_launch_date
1,True,B1050,retired,0,1,1,2018-12-05T18:16:16Z,2018-12-05T18:16:16Z
2,True,B1051,expended,13,13,14,2022-11-12T16:06:00Z,2019-03-02T07:49:00Z
8,True,B0003,expended,0,0,1,2010-06-04T18:45:00Z,2010-06-04T18:45:00Z
9,True,B0004,lost,0,0,1,2010-12-08T15:43:00Z,2010-12-08T15:43:00Z
10,True,B0005,lost,0,0,1,2012-05-22T07:44:38Z,2012-05-22T07:44:38Z
11,True,B0006,lost,0,0,1,2012-10-08T00:35:07Z,2012-10-08T00:35:07Z
12,True,B0007,lost,0,0,1,2013-03-01T15:10:13Z,2013-03-01T15:10:13Z
13,True,B1003,lost,0,0,1,2013-09-29T16:00:00Z,2013-09-29T16:00:00Z
14,True,B1004,lost,0,0,1,2013-12-03T21:41:00Z,2013-12-03T21:41:00Z
15,True,B1005,lost,0,0,1,2014-01-06T22:06:00Z,2014-01-06T22:06:00Z
16,True,B1006,lost,0,0,1,2014-04-18T19:25:22Z,2014-04-18T19:25:22Z
17,True,B1007,lost,0,0,1,2014-07-14T15:15:00Z,2014-07-14T15:15:00Z
18,True,B1008,lost,0,0,1,2014-08-05T08:00:00Z,2014-08-05T08:00:00Z
19,True,B1011,lost,0,0,1,2014-09-07T05:00:00Z,2014-09-07T05:00:00Z
20,True,B1010,lost,0,1,1,2014-09-21T05:52:03Z,2014-09-21T05:52:03Z
21,True,B1012,lost,0,1,1,2015-01-10T09:47:10Z,2015-01-10T09:47:10Z
22,True,B1013,lost,0,0,1,2015-02-11T23:03:32Z,2015-02-11T23:03:32Z
23,True,B1014,lost,0,0,1,2015-03-02T03:50:00Z,2015-03-02T03:50:00Z
24,True,B1015,lost,0,1,1,2015-04-14T20:10:41Z,2015-04-14T20:10:41Z
25,True,B1016,lost,0,0,1,2015-04-27T23:03:00Z,2015-04-27T23:03:00Z
26,True,B1018,lost,0,1,1,2015-06-28T14:21:11Z,2015-06-28T14:21:11Z
27,True,B1019,retired,1,1,1,2015-12-22T01:29:00Z,2015-12-22T01:29:00Z
28,True,B1017,lost,0,1,1,2016-01-17T18:42:18Z,2016-01-17T18:42:18Z
29,True,B1020,lost,0,1,1,2016-03-04T23:35:00Z,2016-03-04T23:35:00Z
30,True,B1021,retired,2,2,2,2017-03-30T22:27:00Z,2016-04-08T20:43:32Z
31,True,B1022,retired,1,1,1,2016-05-06T05:21:00Z,2016-05-06T05:21:00Z
32,True,B1023,retired,2,2,2,2018-02-06T20:45:00Z,2016-05-27T21:39:00Z
33,True,B1024,lost,0,1,1,2016-06-15T14:29:00Z,2016-06-15T14:29:00Z
34,True,B1025,retired,2,2,2,2018-02-06T20:45:00Z,2016-07-18T04:45:00Z
35,True,B1026,retired,1,1,1,2016-08-14T05:26:00Z,2016-08-14T05:26:00Z
36,True,B1028,lost,0,0,1,2016-09-03T07:00:00Z,2016-09-03T07:00:00Z
37,True,B1029,retired,2,2,2,2017-06-23T19:10:00Z,2017-01-14T17:54:34Z
38,True,B1031,retired,2,2,2,2017-10-11T22:53:00Z,2017-02-19T14:39:00Z
39,True,B1030,expended,0,0,1,2017-03-16T06:00:00Z,2017-03-16T06:00:00Z
40,True,B1032,expended,1,1,2,2018-01-31T21:25:00Z,2017-05-01T11:15:00Z
41,True,B1034,expended,0,0,1,2017-05-15T23:21:00Z,2017-05-15T23:21:00Z
42,True,B1035,retired,2,2,2,2017-12-15T15:36:09Z,2017-06-03T21:07:38Z
43,True,B1036,expended,1,1,2,2017-12-23T01:27:34Z,2017-06-25T20:25:18Z
44,True,B1037,expended,0,0,1,2017-07-05T23:38:00Z,2017-07-05T23:38:00Z
45,True,B1039,expended,1,1,2,2018-04-02T20:30:38Z,2017-08-14T16:31:37Z
46,True,B1038,expended,1,1,2,2018-02-22T14:17:00Z,2017-08-24T18:51:00Z
47,True,B1040,expended,1,1,2,2018-06-04T04:45:00Z,2017-09-07T14:00:00Z
48,True,B1041,expended,1,1,2,2018-03-30T14:13:51Z,2017-10-09T12:37:01Z
49,True,B1042,retired,1,1,1,2017-10-30T19:34:00Z,2017-10-30T19:34:00Z
50,True,B1043,expended,1,1,2,2018-05-22T19:47:58Z,2018-01-08T01:00:00Z
51,True,B1033,lost,0,1,1,2018-02-06T20:45:00Z,2018-02-06T20:45:00Z
52,True,B1044,expended,0,0,1,2018-03-06T05:33:00Z,2018-03-06T05:33:00Z
53,True,B1045,expended,1,1,2,2018-06-29T09:42:41Z,2018-04-18T22:51:30Z
54,True,B1046,expended,3,3,4,2020-01-19T15:30:00Z,2018-05-11T20:14:00Z
55,True,B1047,expended,2,2,3,2019-08-06T23:23:00Z,2018-07-22T05:50:00Z
56,True,B1048,lost,4,5,5,2020-03-18T12:16:39Z,2018-07-25T11:39:30Z
57,True,B1049,expended,10,10,11,2022-11-23T02:57:00Z,2018-09-10T04:45:00Z
58,True,B1052,expended,7,7,8,2023-05-01T00:26:00Z,2019-04-11T22:35:00Z
59,True,B1053,expended,2,2,3,2023-05-01T00:26:00Z,2019-04-11T22:35:00Z
61,True,B1054,expended,0,0,1,2018-12-23T13:51:00Z,2018-12-23T13:51:00Z
64,True,B1055,lost,1,1,1,2019-04-11T22:35:00Z,2019-04-11T22:35:00Z
65,True,B1056,lost,3,4,4,2020-02-17T15:05:55Z,2019-05-04T06:48:58Z
66,True,B1057,lost,0,1,1,2019-06-25T06:30:00Z,2019-06-25T06:30:00Z
68,True,B1059,lost,5,6,6,2021-02-16T03:59:00Z,2019-12-05T17:29:24Z
69,True,B1058,active,15,15,15,2022-12-17T21:32:00Z,2020-05-30T19:22:45Z
70,True,SN5,scrapped,1,1,1,2020-08-04T23:57:00Z,2020-08-04T23:57:00Z
71,True,B1061,active,13,13,13,2023-04-27T13:40:50Z,2020-11-16T00:27:17Z
72,True,B1060,active,15,15,15,2023-01-03T14:55:56Z,2020-06-30T20:10:46Z
73,True,B1062,active,13,13,13,2023-03-09T19:13:28Z,2020-11-05T23:24:23Z
74,True,Starhopper,retired,2,2,2,2019-08-27T22:02:00Z,2019-07-26T03:45:00Z
80,True,SN6,scrapped,1,1,1,2020-09-03T17:48:00Z,2020-09-03T17:48:00Z
83,True,SN8,destroyed,0,1,1,2020-12-09T22:45:25Z,2020-12-09T22:45:25Z
84,True,B1063,active,11,11,11,2023-05-20T13:16:33Z,2020-11-21T17:17:00Z
85,True,B1064,active,2,2,2,2023-01-15T22:56:00Z,2022-11-01T13:41:00Z
86,True,B1065,active,2,2,2,2023-01-15T22:56:00Z,2022-11-01T13:41:00Z
87,True,B1066,expended,0,0,1,2022-11-01T13:41:00Z,2022-11-01T13:41:00Z
89,True,SN9,destroyed,0,1,1,2021-02-02T20:25:15Z,2021-02-02T20:25:15Z
91,True,SN10,destroyed,0,1,1,2021-03-03T23:15:00Z,2021-03-03T23:15:00Z
92,True,SN11,destroyed,0,1,1,2021-03-30T13:00:00Z,2021-03-30T13:00:00Z
94,True,SN15,retired,1,1,1,2021-05-05T22:24:00Z,2021-05-05T22:24:00Z
101,True,B1067,active,11,11,11,2023-05-14T05:03:50Z,2021-06-03T17:29:15Z
105,True,B1069,active,7,7,7,2023-05-04T07:31:00Z,2021-12-21T10:07:08Z
107,True,B1071,active,8,8,8,2023-03-17T19:26:40Z,2022-02-02T20:27:26Z
108,True,B1068,expended,0,0,1,2023-05-01T00:26:00Z,2023-05-01T00:26:00Z
109,True,B1070,expended,0,0,1,2023-01-15T22:56:00Z,2023-01-15T22:56:00Z
111,True,B1072,active,1,1,1,2024-06-25T21:26:00Z,2024-06-25T21:26:00Z
112,True,B1073,active,8,8,8,2023-04-19T14:31:10Z,2022-05-14T20:40:50Z
113,True,B1074,expended,0,0,1,2023-07-29T03:04:00Z,2023-07-29T03:04:00Z
114,True,B1075,active,3,3,3,2023-05-10T20:09:00Z,2023-01-19T15:43:10Z
115,True,Booster 7,Destroyed,0,0,1,2023-04-20T13:33:00Z,2023-04-20T13:33:00Z
116,True,B1077,active,4,4,4,2023-03-29T20:01:00Z,2022-10-05T16:00:57Z
118,True,B1076,active,5,5,5,2023-05-19T06:19:30Z,2022-11-26T19:20:43Z
120,True,B1078,active,3,3,3,2023-06-04T12:20:00Z,2023-03-02T05:34:14Z
121,True,B1079,expended,0,0,1,2023-10-13T14:19:43Z,2023-10-13T14:19:43Z
123,True,B1080,active,1,1,1,2023-05-21T21:37:00Z,2023-05-21T21:37:00Z
124,True,B1081,active,1,1,1,2023-08-26T07:27:00Z,2023-08-26T07:27:00Z
125,True,B1082,active,8,8,8,2024-11-14T05:23:00Z,2024-01-03T03:44:20Z
126,True,B1083,active,5,5,5,2024-11-05T02:29:31Z,2024-03-04T03:53:38Z
127,False,B1084,expended,0,0,1,2023-12-29T01:07:00Z,2023-12-29T01:07:00Z
128,False,Booster 9,destroyed,0,1,1,2023-11-18T13:02:50Z,2023-11-18T13:02:50Z
137,False,Booster 10,destroyed,0,1,1,2024-03-14T13:25:00Z,2024-03-14T13:25:00Z
147,False,B1087,expended,0,0,1,2024-06-25T21:26:00Z,2024-06-25T21:26:00Z
148,True,B1086,active,1,1,1,2024-06-25T21:26:00Z,2024-06-25T21:26:00Z
149,True,Booster 11,lost,1,1,1,2024-06-06T12:50:00Z,2024-06-06T12:50:00Z
150,True,Booster 12,retired,1,1,1,2024-10-13T12:25:00Z,2024-10-13T12:25:00Z
151,True,B1085,active,3,3,3,2024-11-07T20:19:00Z,2024-08-20T13:20:00Z
153,True,B1088,active,1,1,1,2024-11-30T08:10:00Z,2024-11-30T08:10:00Z
154,False,B1089,expended,0,0,1,2024-10-14T16:06:00Z,2024-10-14T16:06:00Z
188,False,Booster 13,lost,0,1,1,2024-11-19T22:00:00Z,2024-11-19T22:00:00Z
190,True,B1090,active,1,1,1,2024-12-17T22:26:00Z,2024-12-17T22:26:00Z
